LARGE DATASET AUDIT DUMP | ACCOUNT: 50200012345678 | BILL NO: INV-2026-0098
TRANSACTION ENTRY #0026 | REF: TXN-00000338 | AMOUNT: Rs. 2600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0027 | REF: TXN-00000351 | AMOUNT: Rs. 2700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0028 | REF: TXN-00000364 | AMOUNT: Rs. 2800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0029 | REF: TXN-00000377 | AMOUNT: Rs. 2900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0030 | REF: TXN-00000390 | AMOUNT: Rs. 3000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0031 | REF: TXN-00000403 | AMOUNT: Rs. 3100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0032 | REF: TXN-00000416 | AMOUNT: Rs. 3200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0033 | REF: TXN-00000429 | AMOUNT: Rs. 3300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0034 | REF: TXN-00000442 | AMOUNT: Rs. 3400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0035 | REF: TXN-00000455 | AMOUNT: Rs. 3500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0036 | REF: TXN-00000468 | AMOUNT: Rs. 3600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0037 | REF: TXN-00000481 | AMOUNT: Rs. 3700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0038 | REF: TXN-00000494 | AMOUNT: Rs. 3800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0039 | REF: TXN-00000507 | AMOUNT: Rs. 3900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0040 | REF: TXN-00000520 | AMOUNT: Rs. 4000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0041 | REF: TXN-00000533 | AMOUNT: Rs. 4100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0042 | REF: TXN-00000546 | AMOUNT: Rs. 4200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0043 | REF: TXN-00000559 | AMOUNT: Rs. 4300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0044 | REF: TXN-00000572 | AMOUNT: Rs. 4400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0045 | REF: TXN-00000585 | AMOUNT: Rs. 4500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0046 | REF: TXN-00000598 | AMOUNT: Rs. 4600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0047 | REF: TXN-00000611 | AMOUNT: Rs. 4700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0048 | REF: TXN-00000624 | AMOUNT: Rs. 4800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0049 | REF: TXN-00000637 | AMOUNT: Rs. 4900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0050 | REF: TXN-00000650 | AMOUNT: Rs. 5000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0051 | REF: TXN-00000663 | AMOUNT: Rs. 5100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0052 | REF: TXN-00000676 | AMOUNT: Rs. 5200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0053 | REF: TXN-00000689 | AMOUNT: Rs. 5300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0054 | REF: TXN-00000702 | AMOUNT: Rs. 5400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0055 | REF: TXN-00000715 | AMOUNT: Rs. 5500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0056 | REF: TXN-00000728 | AMOUNT: Rs. 5600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0057 | REF: TXN-00000741 | AMOUNT: Rs. 5700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0058 | REF: TXN-00000754 | AMOUNT: Rs. 5800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0059 | REF: TXN-00000767 | AMOUNT: Rs. 5900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0060 | REF: TXN-00000780 | AMOUNT: Rs. 6000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0061 | REF: TXN-00000793 | AMOUNT: Rs. 6100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0062 | REF: TXN-00000806 | AMOUNT: Rs. 6200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0063 | REF: TXN-00000819 | AMOUNT: Rs. 6300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0064 | REF: TXN-00000832 | AMOUNT: Rs. 6400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0065 | REF: TXN-00000845 | AMOUNT: Rs. 6500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0066 | REF: TXN-00000858 | AMOUNT: Rs. 6600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0067 | REF: TXN-00000871 | AMOUNT: Rs. 6700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0068 | REF: TXN-00000884 | AMOUNT: Rs. 6800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0069 | REF: TXN-00000897 | AMOUNT: Rs. 6900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0070 | REF: TXN-00000910 | AMOUNT: Rs. 7000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0071 | REF: TXN-00000923 | AMOUNT: Rs. 7100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0072 | REF: TXN-00000936 | AMOUNT: Rs. 7200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0073 | REF: TXN-00000949 | AMOUNT: Rs. 7300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0074 | REF: TXN-00000962 | AMOUNT: Rs. 7400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0075 | REF: TXN-00000975 | AMOUNT: Rs. 7500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0076 | REF: TXN-00000988 | AMOUNT: Rs. 7600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0077 | REF: TXN-00001001 | AMOUNT: Rs. 7700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0078 | REF: TXN-00001014 | AMOUNT: Rs. 7800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0079 | REF: TXN-00001027 | AMOUNT: Rs. 7900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0080 | REF: TXN-00001040 | AMOUNT: Rs. 8000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0081 | REF: TXN-00001053 | AMOUNT: Rs. 8100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0082 | REF: TXN-00001066 | AMOUNT: Rs. 8200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0083 | REF: TXN-00001079 | AMOUNT: Rs. 8300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0084 | REF: TXN-00001092 | AMOUNT: Rs. 8400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0085 | REF: TXN-00001105 | AMOUNT: Rs. 8500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0086 | REF: TXN-00001118 | AMOUNT: Rs. 8600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0087 | REF: TXN-00001131 | AMOUNT: Rs. 8700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0088 | REF: TXN-00001144 | AMOUNT: Rs. 8800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0089 | REF: TXN-00001157 | AMOUNT: Rs. 8900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0090 | REF: TXN-00001170 | AMOUNT: Rs. 9000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0091 | REF: TXN-00001183 | AMOUNT: Rs. 9100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0092 | REF: TXN-00001196 | AMOUNT: Rs. 9200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0093 | REF: TXN-00001209 | AMOUNT: Rs. 9300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0094 | REF: TXN-00001222 | AMOUNT: Rs. 9400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0095 | REF: TXN-00001235 | AMOUNT: Rs. 9500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0096 | REF: TXN-00001248 | AMOUNT: Rs. 9600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0097 | REF: TXN-00001261 | AMOUNT: Rs. 9700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0098 | REF: TXN-00001274 | AMOUNT: Rs. 9800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0099 | REF: TXN-00001287 | AMOUNT: Rs. 9900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0100 | REF: TXN-00001300 | AMOUNT: Rs. 10000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0101 | REF: TXN-00001313 | AMOUNT: Rs. 10100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0102 | REF: TXN-00001326 | AMOUNT: Rs. 10200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0103 | REF: TXN-00001339 | AMOUNT: Rs. 10300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0104 | REF: TXN-00001352 | AMOUNT: Rs. 10400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0105 | REF: TXN-00001365 | AMOUNT: Rs. 10500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0106 | REF: TXN-00001378 | AMOUNT: Rs. 10600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0107 | REF: TXN-00001391 | AMOUNT: Rs. 10700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0108 | REF: TXN-00001404 | AMOUNT: Rs. 10800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0109 | REF: TXN-00001417 | AMOUNT: Rs. 10900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0110 | REF: TXN-00001430 | AMOUNT: Rs. 11000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0111 | REF: TXN-00001443 | AMOUNT: Rs. 11100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0112 | REF: TXN-00001456 | AMOUNT: Rs. 11200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0113 | REF: TXN-00001469 | AMOUNT: Rs. 11300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0114 | REF: TXN-00001482 | AMOUNT: Rs. 11400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0115 | REF: TXN-00001495 | AMOUNT: Rs. 11500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0116 | REF: TXN-00001508 | AMOUNT: Rs. 11600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0117 | REF: TXN-00001521 | AMOUNT: Rs. 11700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0118 | REF: TXN-00001534 | AMOUNT: Rs. 11800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0119 | REF: TXN-00001547 | AMOUNT: Rs. 11900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0120 | REF: TXN-00001560 | AMOUNT: Rs. 12000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0121 | REF: TXN-00001573 | AMOUNT: Rs. 12100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0122 | REF: TXN-00001586 | AMOUNT: Rs. 12200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0123 | REF: TXN-00001599 | AMOUNT: Rs. 12300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0124 | REF: TXN-00001612 | AMOUNT: Rs. 12400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0125 | REF: TXN-00001625 | AMOUNT: Rs. 12500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0126 | REF: TXN-00001638 | AMOUNT: Rs. 12600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0127 | REF: TXN-00001651 | AMOUNT: Rs. 12700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0128 | REF: TXN-00001664 | AMOUNT: Rs. 12800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0129 | REF: TXN-00001677 | AMOUNT: Rs. 12900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0130 | REF: TXN-00001690 | AMOUNT: Rs. 13000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0131 | REF: TXN-00001703 | AMOUNT: Rs. 13100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0132 | REF: TXN-00001716 | AMOUNT: Rs. 13200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0133 | REF: TXN-00001729 | AMOUNT: Rs. 13300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0134 | REF: TXN-00001742 | AMOUNT: Rs. 13400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0135 | REF: TXN-00001755 | AMOUNT: Rs. 13500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0136 | REF: TXN-00001768 | AMOUNT: Rs. 13600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0137 | REF: TXN-00001781 | AMOUNT: Rs. 13700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0138 | REF: TXN-00001794 | AMOUNT: Rs. 13800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0139 | REF: TXN-00001807 | AMOUNT: Rs. 13900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0140 | REF: TXN-00001820 | AMOUNT: Rs. 14000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0141 | REF: TXN-00001833 | AMOUNT: Rs. 14100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0142 | REF: TXN-00001846 | AMOUNT: Rs. 14200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0143 | REF: TXN-00001859 | AMOUNT: Rs. 14300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0144 | REF: TXN-00001872 | AMOUNT: Rs. 14400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0145 | REF: TXN-00001885 | AMOUNT: Rs. 14500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0146 | REF: TXN-00001898 | AMOUNT: Rs. 14600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0147 | REF: TXN-00001911 | AMOUNT: Rs. 14700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0148 | REF: TXN-00001924 | AMOUNT: Rs. 14800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0149 | REF: TXN-00001937 | AMOUNT: Rs. 14900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0150 | REF: TXN-00001950 | AMOUNT: Rs. 15000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0151 | REF: TXN-00001963 | AMOUNT: Rs. 15100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0152 | REF: TXN-00001976 | AMOUNT: Rs. 15200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0153 | REF: TXN-00001989 | AMOUNT: Rs. 15300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0154 | REF: TXN-00002002 | AMOUNT: Rs. 15400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0155 | REF: TXN-00002015 | AMOUNT: Rs. 15500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0156 | REF: TXN-00002028 | AMOUNT: Rs. 15600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0157 | REF: TXN-00002041 | AMOUNT: Rs. 15700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0158 | REF: TXN-00002054 | AMOUNT: Rs. 15800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0159 | REF: TXN-00002067 | AMOUNT: Rs. 15900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0160 | REF: TXN-00002080 | AMOUNT: Rs. 16000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0161 | REF: TXN-00002093 | AMOUNT: Rs. 16100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0162 | REF: TXN-00002106 | AMOUNT: Rs. 16200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0163 | REF: TXN-00002119 | AMOUNT: Rs. 16300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0164 | REF: TXN-00002132 | AMOUNT: Rs. 16400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0165 | REF: TXN-00002145 | AMOUNT: Rs. 16500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0166 | REF: TXN-00002158 | AMOUNT: Rs. 16600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0167 | REF: TXN-00002171 | AMOUNT: Rs. 16700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0168 | REF: TXN-00002184 | AMOUNT: Rs. 16800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0169 | REF: TXN-00002197 | AMOUNT: Rs. 16900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0170 | REF: TXN-00002210 | AMOUNT: Rs. 17000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0171 | REF: TXN-00002223 | AMOUNT: Rs. 17100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0172 | REF: TXN-00002236 | AMOUNT: Rs. 17200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0173 | REF: TXN-00002249 | AMOUNT: Rs. 17300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0174 | REF: TXN-00002262 | AMOUNT: Rs. 17400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0175 | REF: TXN-00002275 | AMOUNT: Rs. 17500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0176 | REF: TXN-00002288 | AMOUNT: Rs. 17600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0177 | REF: TXN-00002301 | AMOUNT: Rs. 17700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0178 | REF: TXN-00002314 | AMOUNT: Rs. 17800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0179 | REF: TXN-00002327 | AMOUNT: Rs. 17900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0180 | REF: TXN-00002340 | AMOUNT: Rs. 18000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0181 | REF: TXN-00002353 | AMOUNT: Rs. 18100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0182 | REF: TXN-00002366 | AMOUNT: Rs. 18200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0183 | REF: TXN-00002379 | AMOUNT: Rs. 18300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0184 | REF: TXN-00002392 | AMOUNT: Rs. 18400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0185 | REF: TXN-00002405 | AMOUNT: Rs. 18500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0186 | REF: TXN-00002418 | AMOUNT: Rs. 18600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0187 | REF: TXN-00002431 | AMOUNT: Rs. 18700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0188 | REF: TXN-00002444 | AMOUNT: Rs. 18800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0189 | REF: TXN-00002457 | AMOUNT: Rs. 18900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0190 | REF: TXN-00002470 | AMOUNT: Rs. 19000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0191 | REF: TXN-00002483 | AMOUNT: Rs. 19100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0192 | REF: TXN-00002496 | AMOUNT: Rs. 19200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0193 | REF: TXN-00002509 | AMOUNT: Rs. 19300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0194 | REF: TXN-00002522 | AMOUNT: Rs. 19400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0195 | REF: TXN-00002535 | AMOUNT: Rs. 19500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0196 | REF: TXN-00002548 | AMOUNT: Rs. 19600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0197 | REF: TXN-00002561 | AMOUNT: Rs. 19700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0198 | REF: TXN-00002574 | AMOUNT: Rs. 19800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0199 | REF: TXN-00002587 | AMOUNT: Rs. 19900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0200 | REF: TXN-00002600 | AMOUNT: Rs. 20000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0201 | REF: TXN-00002613 | AMOUNT: Rs. 20100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0202 | REF: TXN-00002626 | AMOUNT: Rs. 20200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0203 | REF: TXN-00002639 | AMOUNT: Rs. 20300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0204 | REF: TXN-00002652 | AMOUNT: Rs. 20400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0205 | REF: TXN-00002665 | AMOUNT: Rs. 20500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0206 | REF: TXN-00002678 | AMOUNT: Rs. 20600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0207 | REF: TXN-00002691 | AMOUNT: Rs. 20700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0208 | REF: TXN-00002704 | AMOUNT: Rs. 20800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0209 | REF: TXN-00002717 | AMOUNT: Rs. 20900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0210 | REF: TXN-00002730 | AMOUNT: Rs. 21000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0211 | REF: TXN-00002743 | AMOUNT: Rs. 21100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0212 | REF: TXN-00002756 | AMOUNT: Rs. 21200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0213 | REF: TXN-00002769 | AMOUNT: Rs. 21300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0214 | REF: TXN-00002782 | AMOUNT: Rs. 21400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0215 | REF: TXN-00002795 | AMOUNT: Rs. 21500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0216 | REF: TXN-00002808 | AMOUNT: Rs. 21600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0217 | REF: TXN-00002821 | AMOUNT: Rs. 21700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0218 | REF: TXN-00002834 | AMOUNT: Rs. 21800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0219 | REF: TXN-00002847 | AMOUNT: Rs. 21900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0220 | REF: TXN-00002860 | AMOUNT: Rs. 22000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0221 | REF: TXN-00002873 | AMOUNT: Rs. 22100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0222 | REF: TXN-00002886 | AMOUNT: Rs. 22200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0223 | REF: TXN-00002899 | AMOUNT: Rs. 22300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0224 | REF: TXN-00002912 | AMOUNT: Rs. 22400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0225 | REF: TXN-00002925 | AMOUNT: Rs. 22500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0226 | REF: TXN-00002938 | AMOUNT: Rs. 22600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0227 | REF: TXN-00002951 | AMOUNT: Rs. 22700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0228 | REF: TXN-00002964 | AMOUNT: Rs. 22800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0229 | REF: TXN-00002977 | AMOUNT: Rs. 22900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0230 | REF: TXN-00002990 | AMOUNT: Rs. 23000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0231 | REF: TXN-00003003 | AMOUNT: Rs. 23100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0232 | REF: TXN-00003016 | AMOUNT: Rs. 23200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0233 | REF: TXN-00003029 | AMOUNT: Rs. 23300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0234 | REF: TXN-00003042 | AMOUNT: Rs. 23400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0235 | REF: TXN-00003055 | AMOUNT: Rs. 23500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0236 | REF: TXN-00003068 | AMOUNT: Rs. 23600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0237 | REF: TXN-00003081 | AMOUNT: Rs. 23700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0238 | REF: TXN-00003094 | AMOUNT: Rs. 23800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0239 | REF: TXN-00003107 | AMOUNT: Rs. 23900.00 | STATUS: CLEARED
